rn,distribution_share,sum_distribution_share,running_approximate_distribution_usd,sum_approximate_distribution_usd,distribution_token,receiver_type,account,balance_before_event,pool_share,approximate_distribution_usd,is_contract,contract_name,has_redeemed,redemption_usd,redemption_bonus_usd,approximate_distribution_before_redemption_bonus_usd
1287,5.933882731120525e-7,1.0000000000000009,3372647.483649114,3373254.04556872,GLV,CONTRACT,0xcfe41e653b93206f641ddfaa248718567a4f85e2,1.5039347632095572,4.652576058109469e-8,2.0016493928682677,true,,false,,,2.0016493928682677
1288,5.930489877634335e-7,1.0000000000000009,3372649.484154011,3373254.04556872,GLV,CONTRACT,0xbd28c74d5c079853721a9f3c1032e862747a4c01,1.50307484896191,4.649915825406228e-8,2.0005048971934363,true,,false,,,2.0005048971934363
1289,5.928311559718464e-7,1.0000000000000009,3372651.483924106,3373254.04556872,GLV,CONTRACT,0xd4a33d885c556cc90a90e8eb4319cd521e03e317,1.5025227571550026,4.6482078729168436e-8,1.9997700952212119,true,,false,,,1.9997700952212119
1290,5.926995707902551e-7,1.0000000000000009,3372653.483250331,3373254.04556872,GLV,CONTRACT,0x26c475fa687c6d207089e707c39aff70cb797fd1,1.5021892562452517,4.647176153731928e-8,1.999326224975072,true,,false,,,1.999326224975072
1291,5.925083584402028e-7,1.0000000000000009,3372655.481931548,3373254.04556872,GLV,CONTRACT,0x21037cbfe35edd1e2ea2a53115fb616873c358dd,1.5017046310623332,4.645676916146388e-8,1.9986812171416954,true,,false,,,1.9986812171416954
1292,5.923238407003348e-7,1.0000000000000009,3372657.47999034,3373254.04556872,GLV,CONTRACT,0x02c6bb92331a14807d1beb4320c03ff25fe8244b,1.5012369732807578,4.644230168952845e-8,1.9980587919292063,true,DAO,false,,,1.9980587919292063
1293,5.914654159747472e-7,1.0000000000000009,3372659.475153447,3373254.04556872,GLV,CONTRACT,0xfbf273bcba1d2f0a52c88919ae62aab09687e202,1.4990613071193102,4.637499523089198e-8,1.9951631072508018,true,,false,,,1.9951631072508018
1294,5.908620450998851e-7,1.0000000000000009,3372661.4682812314,3373254.04556872,GLV,CONTRACT,0x35a8f8bb131613e45ac74cd1c1a0ca04f27232cc,1.497532071583437,4.6327686765023226e-8,1.9931277840061947,true,,false,,,1.9931277840061947
1295,5.908619366324103e-7,1.0000000000000009,3372663.4614086496,3373254.04556872,GLV,CONTRACT,0x08b62b48f0b0ca0cb12f574e52e119c6a0528bb3,1.4975317966740507,4.63276782604201e-8,1.9931274181178467,true,,false,,,1.9931274181178467
1296,5.904947725256186e-7,1.0000000000000009,3372665.45329753,3373254.04556872,GLV,CONTRACT,0xfabd202e77b7951ddd5e4b9c5618ef4729d7b8b3,1.4966012240809812,4.629889004518124e-8,1.9918888803092238,true,,false,,,1.9918888803092238
